group_id,treatment,period,employer_id,employee_id,employee_rating,employee_avg_effort,employee_history,contract_type,contract_full,requested_effort,wage,actual_effort,rejected,employer_profit,employee_profit,effort_gap,effort_compliance,total_surplus,employee_share,employee_rating_num
1,base,1,1,4,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
1,base,1,2,1,NEW,,,limited,0,5,22,6,0,2,16,1,1,18,0.8888888888888888,0.0
1,base,1,3,7,NEW,,,full,1,6,24,6,0,6,18,0,1,24,0.75,0.0
1,base,1,4,2,NEW,,,limited,0,4,20,5,0,0,15,1,1,15,1.0,0.0
1,base,1,5,9,NEW,,,full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,0.0
1,base,1,6,5,NEW,,,limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,0.0
1,base,1,7,8,NEW,,,full,1,6,23,6,0,7,17,0,1,24,0.7083333333333334,0.0
1,base,1,8,3,NEW,,,limited,0,4,19,4,0,-3,15,0,1,12,1.25,0.0
1,base,1,9,6,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
1,base,2,1,8,MEDIUM,,6,full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,2,2,6,HIGH,,7,limited,0,6,24,7,0,4,17,1,1,21,0.8095238095238095,3.0
1,base,2,3,2,MEDIUM,,5,full,1,7,25,6,0,5,19,-1,0,24,0.7916666666666666,2.0
1,base,2,4,9,HIGH,,7,limited,0,5,22,7,0,6,15,2,1,21,0.7142857142857143,3.0
1,base,2,5,5,MEDIUM,,6,full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,2,6,3,LOW,,4,limited,0,4,19,5,0,1,14,1,1,15,0.9333333333333333,1.0
1,base,2,7,1,MEDIUM,,6,limited,0,6,23,7,0,5,16,1,1,21,0.7619047619047619,2.0
1,base,2,8,7,MEDIUM,,6,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,2,9,4,HIGH,,7,full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,3,1,3,LOW,,"4,5",limited,0,5,21,5,0,-1,16,0,1,15,1.0666666666666667,1.0
1,base,3,2,8,MEDIUM,,"6,7",limited,0,5,20,7,0,8,13,2,1,21,0.6190476190476191,2.0
1,base,3,3,9,HIGH,,"7,7",full,1,7,26,6,0,4,20,-1,0,24,0.8333333333333334,3.0
1,base,3,4,7,MEDIUM,,"6,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,3,5,6,HIGH,,"7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
